SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,True Color,Volatile Acids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-10-17,96,22.1,,1850,,658,,1120,,,,,,,,,,,1000,,15,,33.9,0.00,,354,280,330,340,,7.00,7.00
2025-10-18,96,17.2,,2170,,734,,1160,,,,,,,,,,,1000,,14,,16.3,0.61,,411,380,366,393,,7.37,7.37
2025-10-19,97,22.5,,2120,,646,,1160,,,,,,,,,,,1000,,8,,13.3,1.90,,368,670,181,356,,7.14,7.14
2025-10-20,97,21.3,,2730,,661,,1480,,,,,,,,,,,1000,,5,,12.2,3.40,,324,1220,354,315,,6.75,6.75
2025-10-21,96,20.1,,1400,,596,,1389,,,,,,,,,,,1000,,5,,36.2,1.79,,259,270,324,249,,6.56,6.56
2025-10-22,96,33.9,,1970,,743,,2054,,,,,,,,,,,1000,,8 ,,13.6,0.43,,467,720,315,449,,6.12,6.12
2025-10-23,100,19.2,,2800,,558,,1600,,,,,,,,,,,1000,,4,,18,2.26,,220,2440,357,220,,6.50,6.50
2025-10-24,85,75,,3250,,415,,720,,,,,,,,,,,1000,,4,,12.6,0.98,,156,320,181,133,,6.59,6.59
2025-10-25,92,47.4,,1130,,666,,775,,,,,,,,,,,1000,,13,,19.7,1.57,,384,500,24,354,,6.19,6.19
2025-10-26,80,28,,2260,,433,,1019,,,,,,,,,,,1000,,6,,21.4,1.21,,372,720,111,297,,6.15,6.15
2025-10-27,97,19.3,,1650,,397,,947,,,,,,,,,,,1000,,3.5,,17.2,0.89,,169,1070,66,163,,6.21,6.21
2025-10-28,97,18.6,,2290,,627,,1316,,,,,,,,,,,1000,,9,,27.7,1.10,,229,1350,155,222,,6.59,6.59
2025-10-29,81,15.3,,2250,,413,,964,,,,,,,,,,,1000,,7,,17.6,3.19,,345,770,129,281,,7.51,6.23
2025-10-30,90,27.2,,925,,504,,908,,,,,,,,,,,1000,,8,,17.1,0.66,,304,620,129,273,,6.32,6.62
2025-10-31,94,17.5,,2280,,656,,1660,,,,,,,,,,,1000,,10,,20.3,1.02,,343,1400,333,322,,7.06,7.06
2025-11-01,96,19.5,,2570,,669,,1410,,,,,,,,,,,1000,,9,,15.3,0.17,,302,1100,296,290,,6.07,6.07
2025-11-02,95,51.5,,2560,,564,,1200,,,,,,,,,,,1000,,9,,18.4,3.26,,289,1000,309,276,,6.60,6.60
2025-11-03,98,61.2,,3010,,614,,1490,,,,,,,,,,,1000,,11,,22.8,1.07,,414,400,306,404,,6.39,6.39
2025-11-04,91,44.7,,2060,,633,,2200,,,,,,,,,14.9,,1000,,11,,19.1,2.62,71,381,370,318,346,,6.13,6.13
2025-11-05,93,25.8,,2250,,782,,1600,,,,,,,,,,,1000,,16,,23.6,2.91,,496,580,372,459,,6.76,6.76
2025-11-06,66,22.5,,2690,,649,,1550,,,,,,,,,,,1000,,5.5,,20.1,0.86,,258,900,321,171,,6.58,6.58
2025-11-07,98,19.6,,3250,,640,,1610,,,,,,,,,,,1000,,7,,21.3,1.99,,302,560,363,297,,7.28,7.28
2025-11-08,92,28.1,,4910,,554,,1820,,,,,,,,,,,1000,,18,,18.8,1.46,,480,2190,587,441,,6.58,6.58
2025-11-09,96,22,,3850,,582,,1700,,,,,,,,,,,1000,,14,,12.1,1.30,,385,,306,371,,6.11,6.11
2025-11-10,87,46.8,,670,,1630,,1434,,,,,,,,,,,1000,,8,,20.7,1.63,,432,540,333,377,,6.07,6.07
2025-11-11,92,18.4,,2470,,523,,1290,,,,,,,,,,,1000,,8,,29.9,0.85,,352,880,177,324,,6.96,6.96
2025-11-12,96,16,,3840,,702,,1810,,,,,,,,,,,1000,,12,,22.7,0.23,,437,900,351,420,,6.54,6.54
2025-11-13,92,19.2,,3930,,709,,1710,,,,,,,,,,,1000,,15,,28.1,0.81,,493,660,290,454,,6.79,6.79
2025-11-14,94,17.2,,2660,,961,,1520,,,,,,,,,,,1000,,14,,48.6,0.53,,567,780,493,535,,6.55,6.55
2025-11-15,93,21.1,,3220,,823,,1520,,,,,,,,,,,1000,,11,,29.9,1.79,,473,1000,402,442,,6.67,6.67
2025-11-16,90,23.1,,2360,,786,,1380,,,,,,,,,,,1000,,10,,24.2,2.67,,412,790,306,370,,6.50,6.50
2025-11-17,88,20.9,,3990,,863,,1786,,,,,,,,,,,1000,,17,,29.7,0.39,,507,880,430,445,,6.55,6.55
2025-11-18,94,51,,3610,,771,,1800,,,,,,,,,,,1000,,14,,35.7,1.93,,439,1110,366,413,,6.14,6.14
2025-11-19,90,25.8,,2910,,910,,1780,,,,,,,,,,,1000,,11,,45.5,1.11,,496,910,393,449,,6.70,6.70
2025-11-20,99,21.6,,3820,,622,,1420,,,,,,,,,,,1000,,10,,51.7,1.46,,479,990,153,476,,6.85,6.85
2025-11-21,86,19.2,,3110,,662,,1410,,,,,,,,,,,1000,,10,,33.6,2.29,,524,570,145,449,,7.25,7.25
