SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Arsenic,Biochemical Oxygen Demand,Cadmium,Calcium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Dissolved Oxygen,Hardness,LC50 Static 48Hr Acute Ceriodaphnia,LC50 Static 48Hr Acute Pimephales,Lead,Magnesium,Mercury,Method Reference,Molybdenum,Nickel,Oil and Grease (HEM),Organic Nitrogen,Phosphorus-total,Sample Amount,Selenium,Settleable Solids,Soluble BOD,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Alkalinity (as CaCO3),Total Nitrogen,Total Suspended Solids,Volatile Suspended Solids,Zinc,pH
2024-10-14,96,47.4,,,90,,,378,,,,2.47,,,,,,,,,,,,,1000,,<0.5,50,,29.4,4.04,,,62,59,,7.59
2024-10-15,98,32.5,,,44,,,236,,,,0.44,,,,,,,,,,,,,1000,,<0.5,96,,20.8,1.01,,,59,58,,7.74
2024-10-16,94,37.5,,,125,,,439,,,,4.62,,,,,,,,,,,,,1000,,<0.5,56,,19.4,0.50,,,60,56,,7.52
2024-10-17,98,42.6,,,55,,,320,,,,0.25,,,,,,,,,,,,,1000,,<0.5,113,,20.4,1.24,,,64,63,,7.72
2024-10-18,95,45.6,,,95,,,415,,,,0.44,,,,,,,,,,,,,1000,,<0.5,52,,20.9,2.40,,,67,64,,7.57
2024-10-19,95,50.6,,,87,,,355,,,,3.18,,,,,,,,,,,,,1000,,<0.50,45,,27,1.08,,,65,62,,7.60
2024-10-20,96,50.8,,,100,,,366,,,,0.47,,,,,,,,,,,,,1000,,<0.5,46,,22.8,1.69,,,77,73,,7.55
2024-10-21,96,28.5,,,90,,,256,,,,3.14,,,,,,,,,,,,,1000,,<0.5,41,,26.1,2.68,,,82,79,,7.48
2024-10-22,96,38.9,,,86,,,380,,,,0.50,,,,,,,,,,,,,1000,,<0.5,40,,18.5,0.27,,,74,72,,7.64
2024-10-23,96,35.7,,,116,,,332,,,,1.41,,,,,,,,,,,,,1000,,<0.5,60,,15.9,0.43,,,71,68,,7.56
2024-10-24,93,38.5,,,184,,,406,,,,0.95,,,,,,,,,,,,,1000,,<0.5,108,,11.2,0.00,,,79,73,,7.53
2024-10-25,93,50.9,,,261,,,576,,,,0.31,,,,,,,,,,,,,1000,,<0.5,183,,13.7,0.21,,,97,90,,7.52
2024-10-26,94,35.2,,,231,,,661,,,,2.25,,,,,,,,,,,,,1000,,<0.5,110,,14.4,3.04,,,86,81,,7.39
2024-10-27,94,45.7,,,343,,,820,,,,0.37,,,,,,,,,,,,,1000,,<0.5,170,,11.2,0.92,,,191,180,,7.17
2024-10-28,98,44.9,,,334,,,728,,,,1.14,,,,,,,,,,,,,1000,,<0.5,250,,14.4,2.14,,,86,84,,7.30
2024-10-29,96,42.4,,,117,,,395,,,,4.50,,,,,,,,,,,,,1000,,<0.5,62,,34.6,1.80,,,50,48,,7.46
2024-10-30,99,39.4,,,78,,,266,,,,3.89,,,,,,,,,,,,,1000,,<0.5,43,,40,3.59,,,34,33,,7.48
2024-10-31,91,28.9,,,132,,,284,,,,3.76,,,,,,,,,,,,,1000,,<0.5,54,,29.9,1.28,,,70,64,,7.30
2024-11-01,97,32.2,,,71,,,274,,,,3.46,,,,,,,,,,,,,1000,,<0.5,40,,34.2,0.00,,,50,49,,7.43
2024-11-02,96,25.6,,,96,,,424,,,,6.64,,,,,,,,,,,,,1000,,<0.5,27,,24.6,1.67,,,54,52,,7.41
2024-11-03,94,23.3,,,80,,,240,,,,5.41,,,,,,,,,,,12,6.25,1000,,<0.5,32,,29.2,2.82,,35.3,67,63,,7.48
2024-11-04,91,17.8,,,64,,,275,,,,5.09,,,,,,,,,,,,,1000,,<0.5,29,,29.2,1.20,,,50,45,,7.47
2024-11-05,91,15.8,,,112,,,480,,,,2.00,,,,,,,,,,,,,1000,,<0.5,28,,28.2,1.48,,,158,144,,7.41
2024-11-06,86,14.5,11/12/2024 13:34,<0.0100,176,<0.0020,,330,0.0057,<0.0100,0.0561,6.11,,,,<0.0060,,<0.00020,EPA-245.1,0.0191,0.03,7.5,,,1000,<0.0100,3,84,Waypoint Analytical LLC.,30.1,1.36,,,284,244,0.228,7.14
